ra,ano,idade,ano_ingresso,inde,cg,cf,ct,iaa,ieg,ips,ipp,ida,mat,por,ing,ipv,ian,defasagem,evadiu,delta_defasagem,event_timestamp,fase_num,fase_ideal_num,pedra_num,tipo_inst_num,genero_masculino,pv_Sim
RA-880,2023,7,2023,6.724,700.0,191.0,8.0,0.0,9.4,2.52,6.25,6.3,6.3,6.2,6.4,8.585,10.0,0.0,0.0,,2023-12-31,0,0,2,2,0,0
RA-881,2023,8,2023,7.7322,335.0,120.0,4.0,10.0,8.9,7.52,5.0,7.3,7.5,7.0,7.4,6.25,10.0,0.0,1.0,,2023-12-31,0,0,3,2,1,0
RA-882,2023,8,2023,6.0092,859.0,218.0,10.0,9.0,8.6,2.52,3.75,4.7,4.8,4.5,4.8,4.16,10.0,0.0,1.0,,2023-12-31,0,0,2,2,0,0
RA-883,2023,8,2023,8.5082,85.0,52.0,6.0,9.5,9.7,6.89,6.25,8.4,8.0,8.7,8.5,8.17,10.0,0.0,1.0,,2023-12-31,0,0,4,2,0,0
RA-884,2023,8,2023,8.4587,99.0,59.0,7.0,9.0,9.7,4.39,6.875,8.8,8.4,9.2,8.8,8.66,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,0
RA-885,2023,7,2023,8.8252,31.0,21.0,2.0,9.0,9.8,7.52,7.5,8.7,8.5,8.8,8.8,8.665,10.0,0.0,0.0,,2023-12-31,0,0,4,2,1,0
RA-886,2023,7,2023,8.6422,61.0,39.0,5.0,8.5,9.4,7.52,7.5,8.1,7.6,8.5,8.2,9.0,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,1
RA-887,2023,8,2023,8.6718,52.0,34.0,4.0,8.9,8.9,7.52,7.5,8.4,7.8,9.0,8.4,9.09,10.0,0.0,1.0,,2023-12-31,0,0,4,2,1,1
RA-888,2023,7,2023,8.9182,21.0,13.0,1.0,9.0,10.0,7.52,7.5,8.8,8.2,9.3,8.9,8.83,10.0,0.0,0.0,,2023-12-31,0,0,4,2,1,0
RA-889,2023,8,2023,8.8092,35.0,25.0,3.0,8.5,9.5,6.89,7.5,9.1,8.7,9.5,9.1,9.0,10.0,0.0,0.0,,2023-12-31,0,0,4,2,1,1
RA-890,2023,8,2023,6.989,617.0,179.0,9.0,0.0,9.1,2.52,6.25,8.3,8.0,8.6,8.3,8.16,10.0,0.0,1.0,,2023-12-31,0,0,2,2,1,0
RA-891,2023,9,2023,7.8882,270.0,102.0,8.0,9.5,9.5,6.89,7.5,7.5,6.2,8.8,7.5,7.995,5.0,-1.0,0.0,,2023-12-31,0,1,3,2,0,0
RA-684,2023,8,2022,7.4277,458.0,146.0,10.0,9.0,8.1,7.52,6.875,6.5,8.3,4.7,6.5,5.84,10.0,0.0,0.0,0.0,2023-12-31,0,0,3,0,1,0
RA-892,2023,8,2023,8.8112,34.0,24.0,4.0,8.0,9.6,6.89,7.5,8.3,8.5,8.0,8.4,10.01,10.0,0.0,0.0,,2023-12-31,0,0,4,2,1,1
RA-857,2023,9,2022,8.1442,185.0,82.0,9.0,8.5,9.0,7.52,7.5,8.5,8.7,8.2,8.6,9.01,5.0,-1.0,1.0,0.0,2023-12-31,0,1,4,2,0,1
RA-893,2023,9,2023,8.8042,36.0,26.0,5.0,9.5,10.0,7.52,7.5,9.3,9.5,9.0,9.4,10.01,5.0,-1.0,0.0,,2023-12-31,0,1,4,2,1,1
RA-894,2023,9,2023,8.8142,33.0,23.0,3.0,9.5,9.9,7.52,7.5,9.4,9.3,9.5,9.4,10.01,5.0,-1.0,0.0,,2023-12-31,0,1,4,2,0,1
RA-690,2023,10,2022,8.6112,66.0,42.0,6.0,9.0,9.8,6.89,7.5,9.1,9.3,8.8,9.2,10.01,5.0,-2.0,0.0,-1.0,2023-12-31,0,2,4,2,0,1
RA-895,2023,8,2023,8.5397,78.0,48.0,7.0,9.5,9.5,7.52,6.875,6.8,6.8,6.7,6.9,9.5,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,1
RA-896,2023,7,2023,9.0912,12.0,9.0,1.0,9.5,10.0,6.89,7.5,8.5,9.0,8.0,8.5,10.01,10.0,0.0,0.0,,2023-12-31,0,0,4,2,1,1
RA-693,2023,8,2022,9.0112,14.0,10.0,2.0,10.0,9.4,6.89,7.5,8.5,8.2,8.7,8.6,10.01,10.0,0.0,0.0,0.0,2023-12-31,0,0,4,2,0,1
RA-675,2023,9,2022,8.3577,123.0,67.0,8.0,10.0,8.0,7.52,6.875,8.3,8.5,8.0,8.4,8.34,10.0,0.0,1.0,0.0,2023-12-31,0,0,4,2,1,0
RA-850,2023,9,2022,6.06525,847.0,216.0,11.0,0.0,7.9,6.26,6.5625,7.3,6.8,7.7,7.4,6.265,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,2,2,1,0
RA-897,2023,9,2023,5.48225,910.0,229.0,12.0,0.0,8.1,7.52,6.5625,6.5,7.2,5.7,6.6,3.32,5.0,-1.0,0.0,,2023-12-31,0,1,1,2,1,0
RA-842,2023,9,2022,7.2117,538.0,163.0,7.0,9.0,8.5,3.77,5.625,7.9,8.2,7.5,8.0,8.01,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,3,2,0,0
RA-898,2023,9,2023,8.4217,107.0,61.0,4.0,9.0,9.8,3.77,8.125,9.4,9.7,9.0,9.5,10.01,5.0,-1.0,0.0,,2023-12-31,0,1,4,2,1,1
RA-899,2023,8,2023,8.8452,29.0,20.0,2.0,10.0,9.8,3.77,7.5,9.5,9.3,9.6,9.6,9.34,10.0,0.0,0.0,,2023-12-31,0,0,4,2,1,1
RA-900,2023,8,2023,8.8947,23.0,15.0,1.0,9.0,9.8,9.38,8.125,7.8,8.0,7.5,7.9,8.67,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,0
RA-846,2023,8,2022,7.4637,442.0,144.0,5.0,9.5,8.2,3.77,5.625,6.0,6.3,5.7,6.0,8.67,10.0,0.0,1.0,0.0,2023-12-31,0,0,3,2,0,0
RA-901,2023,10,2023,7.3112,502.0,154.0,6.0,8.5,8.7,3.77,6.25,7.5,7.7,7.3,7.5,8.595,5.0,-2.0,1.0,,2023-12-31,0,2,3,2,1,0
RA-743,2023,10,2022,6.659,718.0,195.0,8.0,0.0,9.1,3.77,7.5,7.1,7.3,6.8,7.2,9.01,5.0,-2.0,0.0,-1.0,2023-12-31,0,2,2,2,0,1
RA-681,2023,10,2022,6.2955,813.0,210.0,10.0,0.0,7.8,3.77,5.625,8.3,8.8,7.8,8.3,8.18,5.0,-2.0,0.0,0.0,2023-12-31,0,2,2,2,1,0
RA-902,2023,12,2023,5.97345,864.0,221.0,12.0,10.0,9.3,2.52,5.3125,3.9,4.5,3.3,3.9,6.5,2.5,-3.0,1.0,,2023-12-31,0,3,1,2,1,0
RA-903,2023,8,2023,8.5242,84.0,51.0,3.0,10.0,9.6,5.02,7.5,7.8,7.7,7.8,7.9,9.01,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,1
RA-851,2023,9,2022,6.1683,836.0,215.0,11.0,8.4,7.5,2.52,5.625,6.6,6.8,6.3,6.7,6.01,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,2,2,1,0
RA-847,2023,10,2022,6.5418,752.0,200.0,9.0,7.9,9.1,2.52,5.0,7.6,7.5,7.6,7.7,5.84,5.0,-2.0,0.0,-1.0,2023-12-31,0,2,2,2,1,0
RA-904,2023,7,2023,8.140783,186.0,83.0,6.0,9.0,9.3,7.52,7.8125,6.4,6.0,6.8,6.4,7.8366666,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,0
RA-858,2023,8,2022,7.248833,525.0,161.0,11.0,0.0,8.1,3.77,8.125,9.3,9.3,9.2,9.4,7.9466667,10.0,0.0,0.0,0.0,2023-12-31,0,0,3,2,1,0
RA-905,2023,9,2023,7.831033,286.0,106.0,8.0,9.5,9.4,7.52,6.875,8.3,7.5,9.0,8.4,7.056667,5.0,-1.0,0.0,,2023-12-31,0,1,3,2,1,0
RA-702,2023,9,2022,8.239866,159.0,74.0,4.0,10.0,10.0,5.63,7.5,9.3,9.3,9.3,9.3,7.8333335,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,4,2,0,0
RA-725,2023,9,2022,8.117367,195.0,85.0,7.0,9.5,9.0,7.52,8.125,8.4,8.1,8.7,8.4,8.113334,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,4,2,1,0
RA-906,2023,8,2023,8.1922,174.0,78.0,5.0,7.5,9.2,7.52,7.5,8.6,7.7,9.4,8.7,6.95,10.0,0.0,1.0,,2023-12-31,0,0,4,2,1,0
RA-907,2023,8,2023,8.962033,19.0,12.0,1.0,9.5,9.6,7.52,8.125,9.3,9.2,9.4,9.3,8.336667,10.0,0.0,0.0,,2023-12-31,0,0,4,0,0,0
RA-908,2023,8,2023,8.479366,91.0,55.0,3.0,9.0,9.0,7.52,8.125,7.9,6.7,9.0,8.0,8.223333,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,0
RA-909,2023,10,2023,8.486033,89.0,54.0,2.0,10.0,9.9,7.52,8.125,9.2,9.1,9.2,9.3,8.056666,5.0,-2.0,0.0,,2023-12-31,0,2,4,2,0,0
RA-708,2023,9,2022,7.5105,432.0,141.0,10.0,0.0,9.8,7.52,8.125,9.2,8.8,9.5,9.3,8.28,5.0,-1.0,1.0,0.0,2023-12-31,0,1,3,2,1,0
RA-910,2023,8,2023,7.801,301.0,108.0,9.0,0.0,8.8,7.52,8.75,8.9,8.8,9.0,8.9,8.17,10.0,0.0,0.0,,2023-12-31,0,0,3,2,1,0
RA-671,2023,10,2021,6.5143,760.0,203.0,11.0,7.9,8.3,3.14,5.625,7.8,8.0,7.5,7.9,5.68,5.0,-2.0,1.0,-1.0,2023-12-31,0,2,2,2,1,0
RA-836,2023,10,2022,7.6417,379.0,130.0,4.0,9.5,9.6,6.27,6.875,6.7,6.7,6.7,6.7,8.085,5.0,-2.0,0.0,-1.0,2023-12-31,0,2,3,2,1,0
RA-911,2023,11,2023,5.59545,904.0,228.0,12.0,9.0,6.7,2.52,5.3125,3.4,3.7,3.0,3.5,7.01,5.0,-2.0,0.0,,2023-12-31,0,2,1,2,1,0
RA-860,2023,8,2022,8.2372,160.0,75.0,1.0,7.0,9.8,6.89,7.5,7.4,7.2,7.5,7.5,8.34,10.0,0.0,0.0,0.0,2023-12-31,0,0,4,2,1,0
RA-727,2023,9,2022,7.6802,363.0,126.0,3.0,9.5,8.8,2.52,7.5,8.0,8.3,7.7,8.0,9.34,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,3,2,1,1
RA-739,2023,9,2022,7.5972,400.0,135.0,5.0,9.0,8.3,7.52,6.25,7.6,7.3,7.8,7.7,8.25,5.0,-1.0,1.0,-1.0,2023-12-31,0,1,3,2,1,0
RA-740,2023,10,2022,7.2845,512.0,157.0,6.0,0.0,8.7,7.52,6.875,9.1,9.0,9.2,9.1,8.925,5.0,-2.0,0.0,-1.0,2023-12-31,0,2,3,0,0,0
RA-912,2023,9,2023,7.0797,582.0,173.0,8.0,7.0,9.4,7.52,5.625,6.3,6.2,6.3,6.4,7.175,5.0,-1.0,0.0,,2023-12-31,0,1,3,2,0,0
RA-706,2023,11,2021,7.1527,560.0,166.0,7.0,9.0,7.8,4.39,6.875,7.3,6.7,7.8,7.4,8.08,5.0,-2.0,0.0,0.0,2023-12-31,0,2,3,2,0,0
RA-840,2023,9,2022,7.7862,307.0,110.0,2.0,9.5,9.0,4.38,7.5,8.2,8.3,8.0,8.3,8.59,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,3,2,1,0
RA-841,2023,11,2022,6.78,685.0,188.0,9.0,0.0,7.2,7.52,7.5,6.9,6.7,7.0,7.0,9.84,5.0,-2.0,0.0,0.0,2023-12-31,0,2,2,2,1,1
RA-709,2023,11,2022,6.6927,708.0,193.0,10.0,10.0,7.9,7.52,5.625,4.9,5.5,4.3,4.9,6.59,5.0,-2.0,0.0,0.0,2023-12-31,0,2,2,2,0,0
RA-913,2023,10,2023,7.7432,331.0,118.0,3.0,8.0,8.5,6.89,6.25,7.9,9.5,6.3,7.9,9.245,5.0,-2.0,1.0,,2023-12-31,0,2,3,2,0,1
RA-726,2023,8,2022,7.3687,486.0,151.0,6.0,10.0,6.1,7.52,5.625,6.0,6.2,5.8,6.0,8.17,10.0,0.0,1.0,0.0,2023-12-31,0,0,3,2,0,0
RA-914,2023,8,2023,8.6912,48.0,32.0,1.0,10.0,9.2,7.52,6.25,8.7,9.0,8.4,8.7,8.67,10.0,0.0,1.0,,2023-12-31,0,0,4,2,0,0
RA-915,2023,8,2023,8.5962,70.0,44.0,2.0,10.0,8.4,7.52,7.5,8.4,8.1,8.7,8.4,8.67,10.0,0.0,1.0,,2023-12-31,0,0,4,2,0,0
RA-916,2023,9,2023,7.3882,474.0,149.0,5.0,9.5,9.7,2.52,6.25,6.6,7.7,5.5,6.6,9.005,5.0,-1.0,0.0,,2023-12-31,0,1,3,2,0,1
RA-917,2023,7,2023,5.987,861.0,220.0,9.0,0.0,7.2,2.52,6.25,7.0,5.3,8.7,7.0,6.35,10.0,0.0,1.0,,2023-12-31,0,0,1,2,0,0
RA-918,2023,7,2023,7.4967,433.0,142.0,4.0,10.0,8.7,2.52,5.625,7.7,7.1,8.3,7.7,7.01,10.0,0.0,0.0,,2023-12-31,0,0,3,2,0,0
RA-919,2023,9,2023,6.225,828.0,214.0,8.0,0.0,8.4,7.52,6.25,5.3,5.5,5.0,5.4,8.09,5.0,-1.0,0.0,,2023-12-31,0,1,2,2,1,0
RA-920,2023,8,2023,6.9647,624.0,181.0,7.0,9.0,6.3,7.52,5.625,6.1,6.0,6.2,6.1,6.35,10.0,0.0,0.0,,2023-12-31,0,0,2,2,0,0
RA-921,2023,7,2023,7.7407,332.0,119.0,3.0,9.0,9.7,7.52,5.625,6.3,6.5,6.0,6.4,6.68,10.0,0.0,0.0,,2023-12-31,0,0,3,2,0,0
RA-922,2023,9,2023,8.5262,82.0,49.0,2.0,8.5,9.7,3.14,7.5,8.4,8.5,8.2,8.5,10.01,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,1
RA-715,2023,10,2022,5.8915,877.0,223.0,8.0,0.0,9.5,3.14,5.625,5.4,4.5,6.3,5.4,7.675,5.0,-2.0,0.0,-1.0,2023-12-31,0,2,1,2,0,0
RA-822,2023,11,2022,6.4497,779.0,207.0,7.0,8.5,8.4,2.52,5.625,7.1,8.0,6.2,7.1,5.925,5.0,-2.0,0.0,0.0,2023-12-31,0,2,2,2,1,0
RA-923,2023,8,2023,8.8842,27.0,19.0,1.0,9.5,9.9,7.52,7.5,7.3,7.5,7.0,7.4,10.01,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,1
RA-742,2023,10,2022,7.024,608.0,177.0,5.0,0.0,7.6,7.52,7.5,7.5,6.2,8.8,7.5,10.01,5.0,-2.0,1.0,-1.0,2023-12-31,0,2,3,2,0,1
RA-924,2023,8,2023,6.5207,757.0,202.0,6.0,9.0,5.6,7.52,5.625,5.0,5.0,5.0,5.0,5.93,10.0,0.0,0.0,,2023-12-31,0,0,2,2,1,0
RA-925,2023,8,2023,7.1837,547.0,164.0,4.0,9.0,8.9,7.52,5.625,5.4,5.2,5.5,5.5,5.595,10.0,0.0,0.0,,2023-12-31,0,0,3,2,1,0
RA-853,2023,9,2022,7.8402,284.0,105.0,3.0,10.0,9.5,3.77,6.25,7.4,7.2,7.5,7.5,9.84,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,3,2,0,1
RA-854,2023,9,2022,6.6415,722.0,196.0,9.0,0.0,9.5,3.77,5.625,6.0,7.5,4.5,6.0,8.01,10.0,0.0,0.0,0.0,2023-12-31,0,0,2,2,0,0
RA-700,2023,9,2022,8.2852,144.0,70.0,2.0,9.5,9.7,7.52,6.25,7.8,7.5,8.0,7.9,9.84,5.0,-1.0,0.0,0.0,2023-12-31,0,1,4,2,0,1
RA-701,2023,11,2021,7.3982,471.0,148.0,6.0,9.5,9.9,3.77,6.25,7.2,7.3,7.0,7.3,7.68,5.0,-2.0,1.0,0.0,2023-12-31,0,2,3,2,1,0
RA-856,2023,8,2022,7.3355,495.0,152.0,7.0,0.0,9.6,7.52,5.625,7.3,7.5,7.0,7.4,8.255,10.0,0.0,1.0,0.0,2023-12-31,0,0,3,2,1,0
RA-672,2023,10,2021,6.5623,746.0,199.0,10.0,7.9,9.5,2.52,5.625,6.4,6.0,6.7,6.5,6.43,5.0,-2.0,0.0,-1.0,2023-12-31,0,2,2,2,0,0
RA-859,2023,8,2022,8.6042,68.0,43.0,1.0,8.0,9.2,7.52,7.5,7.3,6.8,7.8,7.3,10.01,10.0,0.0,0.0,0.0,2023-12-31,0,0,4,2,0,1
RA-704,2023,11,2022,6.8297,660.0,185.0,8.0,10.0,9.9,3.14,5.625,6.1,6.5,5.7,6.1,6.265,5.0,-2.0,0.0,0.0,2023-12-31,0,2,2,2,1,0
RA-741,2023,11,2022,6.2707,817.0,212.0,12.0,9.5,6.9,4.39,5.625,5.1,4.2,6.0,5.1,7.095,5.0,-2.0,0.0,0.0,2023-12-31,0,2,2,2,0,0
RA-719,2023,11,2021,6.4137,787.0,208.0,11.0,9.5,5.3,7.52,5.625,5.9,7.0,4.7,6.0,7.095,5.0,-2.0,0.0,0.0,2023-12-31,0,2,2,2,1,0
RA-926,2023,9,2023,7.7792,312.0,113.0,4.0,9.0,10.0,3.77,7.5,6.8,6.5,7.0,6.9,9.51,5.0,-1.0,0.0,,2023-12-31,0,1,3,2,0,1
RA-927,2023,9,2023,7.5982,399.0,134.0,5.0,9.0,9.7,3.77,7.5,6.4,7.0,5.8,6.4,9.255,5.0,-1.0,0.0,,2023-12-31,0,1,3,2,0,1
RA-928,2023,8,2023,9.3712,1.0,1.0,1.0,8.5,10.0,7.52,8.75,9.8,9.8,9.8,9.8,9.67,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,1
RA-929,2023,8,2023,9.1312,10.0,8.0,4.0,8.5,9.8,7.52,8.75,8.8,8.7,8.9,8.8,9.67,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,1
RA-930,2023,8,2023,8.8872,25.0,17.0,5.0,9.0,8.8,7.52,8.75,9.0,8.7,9.3,9.0,9.0,10.0,0.0,0.0,,2023-12-31,0,0,4,2,1,1
RA-931,2023,8,2023,7.3747,482.0,150.0,10.0,8.5,8.2,2.52,5.625,7.8,7.0,8.5,7.9,7.6,10.0,0.0,0.0,,2023-12-31,0,0,3,2,1,0
RA-932,2023,7,2023,8.3847,115.0,65.0,8.0,9.5,7.9,7.52,8.125,7.5,6.5,8.4,7.6,9.0,10.0,0.0,1.0,,2023-12-31,0,0,4,2,0,1
RA-933,2023,8,2023,8.6712,53.0,35.0,6.0,9.0,8.4,7.52,8.75,7.7,8.0,7.3,7.8,9.67,10.0,0.0,1.0,,2023-12-31,0,0,4,2,0,1
RA-934,2023,8,2023,9.1737,7.0,6.0,3.0,9.0,9.6,7.52,9.375,8.7,8.3,9.0,8.8,9.67,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,1
RA-935,2023,9,2023,7.9535,252.0,99.0,9.0,0.0,9.8,7.52,9.375,9.4,9.2,9.5,9.5,9.67,5.0,-1.0,0.0,,2023-12-31,0,1,3,2,1,1
RA-936,2023,8,2023,8.5477,77.0,47.0,7.0,9.0,10.0,7.52,8.125,6.5,5.0,8.0,6.5,8.915,10.0,0.0,1.0,,2023-12-31,0,0,4,2,0,0
RA-937,2023,8,2023,9.3237,2.0,2.0,2.0,9.5,9.6,7.52,9.375,9.2,9.0,9.3,9.3,9.67,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,1
RA-756,2023,10,2022,7.0927,576.0,171.0,11.0,10.0,8.7,7.52,5.625,6.1,5.4,6.8,6.1,6.59,5.0,-2.0,0.0,-1.0,2023-12-31,0,2,3,2,1,0
RA-938,2023,9,2023,6.7372,695.0,190.0,12.0,8.5,8.4,7.52,6.25,4.2,0.0,8.3,4.3,7.5,5.0,-1.0,0.0,,2023-12-31,0,1,2,2,1,0
RA-939,2023,11,2023,7.9742,241.0,95.0,5.0,9.0,10.0,7.52,7.5,5.4,5.0,5.7,5.5,10.01,5.0,-2.0,0.0,,2023-12-31,0,2,3,2,0,1
RA-789,2023,8,2022,7.974,242.0,96.0,6.0,0.0,9.5,7.52,7.5,7.9,8.5,7.2,8.0,10.01,10.0,0.0,0.0,0.0,2023-12-31,0,0,3,2,0,1
RA-792,2023,10,2022,7.6267,384.0,131.0,9.0,9.0,7.7,7.52,6.875,7.2,6.8,7.5,7.3,9.085,5.0,-2.0,0.0,-1.0,2023-12-31,0,2,3,2,0,1
RA-940,2023,11,2023,6.6112,731.0,198.0,11.0,9.0,8.4,2.52,6.25,6.3,6.8,5.7,6.4,7.02,5.0,-2.0,1.0,,2023-12-31,0,2,2,2,1,0
RA-941,2023,8,2023,7.6872,358.0,124.0,7.0,8.0,10.0,7.52,5.0,5.0,5.0,5.0,5.0,8.175,10.0,0.0,0.0,,2023-12-31,0,0,3,2,0,0
RA-942,2023,10,2023,6.8547,654.0,184.0,10.0,9.5,8.9,2.52,5.625,7.1,7.3,6.8,7.2,7.0,5.0,-2.0,1.0,,2023-12-31,0,2,2,2,0,0
RA-943,2023,8,2023,8.9172,22.0,14.0,1.0,9.5,9.4,7.52,7.5,8.0,8.0,8.0,8.0,9.925,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,1
RA-782,2023,9,2022,7.6812,362.0,125.0,8.0,8.5,9.8,2.52,7.5,7.5,8.3,6.7,7.5,9.345,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,3,2,1,1
RA-768,2023,11,2021,8.4042,110.0,62.0,3.0,10.0,9.1,7.52,7.5,7.9,8.0,7.8,7.9,10.01,5.0,-2.0,0.0,0.0,2023-12-31,0,2,4,2,0,1
RA-794,2023,9,2022,7.9842,237.0,93.0,4.0,9.0,9.2,7.52,7.5,6.2,5.2,7.2,6.2,10.01,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,3,2,0,1
RA-795,2023,9,2022,8.4642,98.0,58.0,2.0,9.0,9.6,7.52,7.5,8.2,8.7,7.7,8.2,10.01,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,4,2,0,1
RA-944,2023,9,2023,7.0687,588.0,174.0,6.0,9.0,7.6,7.52,5.625,7.5,9.2,5.8,7.5,6.67,5.0,-1.0,0.0,,2023-12-31,0,1,3,2,0,0
RA-945,2023,8,2023,8.0777,207.0,88.0,4.0,8.5,9.2,7.52,6.875,7.9,8.0,7.8,7.9,6.84,10.0,0.0,0.0,,2023-12-31,0,0,4,2,1,0
RA-946,2023,7,2023,8.5822,72.0,46.0,3.0,9.5,9.4,7.52,7.5,9.3,9.0,9.5,9.4,7.0,10.0,0.0,0.0,,2023-12-31,0,0,4,2,1,0
RA-754,2023,10,2022,6.0537,849.0,217.0,10.0,9.5,6.1,2.52,6.875,5.6,5.7,5.4,5.7,6.67,5.0,-2.0,0.0,-1.0,2023-12-31,0,2,2,2,1,0
RA-947,2023,8,2023,6.3457,798.0,209.0,9.0,9.0,7.9,7.52,4.375,3.3,1.7,4.9,3.3,5.08,10.0,0.0,0.0,,2023-12-31,0,0,2,2,1,0
RA-948,2023,8,2023,6.5277,756.0,201.0,8.0,9.0,7.6,7.52,6.875,0.0,0.0,0.0,0.0,8.34,10.0,0.0,1.0,,2023-12-31,0,0,2,2,0,0
RA-949,2023,8,2023,8.0172,224.0,91.0,5.0,9.5,8.1,7.52,6.25,8.9,9.1,8.6,9.0,6.5,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,0
RA-950,2023,8,2023,8.8862,26.0,18.0,2.0,9.0,10.0,7.52,7.5,9.3,9.5,9.0,9.4,8.17,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,0
RA-773,2023,9,2022,6.9287,637.0,182.0,7.0,10.0,7.5,2.52,5.625,7.9,8.0,7.8,7.9,7.67,5.0,-1.0,0.0,0.0,2023-12-31,0,1,2,2,0,0
RA-951,2023,7,2023,8.8902,24.0,16.0,1.0,9.5,9.7,7.52,7.5,8.4,8.5,8.3,8.4,9.09,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,1
RA-769,2023,10,2022,7.85345,280.0,104.0,2.0,10.0,9.3,3.77,7.8125,8.0,8.2,7.8,8.0,8.675,5.0,-2.0,0.0,-1.0,2023-12-31,0,2,3,2,0,0
RA-952,2023,8,2023,8.37095,119.0,66.0,1.0,9.5,9.2,3.77,7.1875,9.0,8.8,9.2,9.0,8.425,10.0,0.0,0.0,,2023-12-31,0,0,4,2,1,0
RA-826,2023,9,2022,7.77645,313.0,114.0,4.0,10.0,10.0,3.77,7.8125,7.3,7.0,7.5,7.4,8.34,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,3,2,1,0
RA-953,2023,8,2023,7.54005,424.0,138.0,6.0,7.4,8.8,3.14,6.5625,8.3,8.5,8.0,8.4,7.09,10.0,0.0,0.0,,2023-12-31,0,0,3,2,0,0
RA-954,2023,8,2023,6.82375,666.0,186.0,9.0,0.0,8.3,3.14,7.1875,7.7,7.8,7.5,7.8,8.005,10.0,0.0,0.0,,2023-12-31,0,0,2,2,0,0
RA-780,2023,10,2022,7.7842,308.0,111.0,3.0,9.5,8.8,3.14,8.75,8.3,8.0,8.5,8.4,8.675,5.0,-2.0,0.0,-1.0,2023-12-31,0,2,3,2,0,0
RA-955,2023,10,2023,7.1297,567.0,169.0,8.0,9.0,8.8,3.14,6.875,7.8,8.0,7.5,7.9,7.09,5.0,-2.0,0.0,,2023-12-31,0,2,3,2,0,0
RA-831,2023,9,2022,7.71645,346.0,123.0,5.0,8.0,9.4,3.77,7.8125,8.3,8.8,7.8,8.3,8.59,5.0,-1.0,0.0,0.0,2023-12-31,0,1,3,2,1,0
RA-783,2023,9,2021,7.2922,509.0,156.0,7.0,9.5,6.8,3.77,7.5,8.9,9.0,8.7,9.0,7.925,5.0,-1.0,1.0,-1.0,2023-12-31,0,1,3,2,1,0
RA-774,2023,9,2022,5.852,880.0,224.0,10.0,0.0,9.5,3.14,5.0,6.9,7.7,6.0,7.0,6.34,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,1,2,0,0
RA-748,2023,10,2022,8.7142,43.0,29.0,4.0,9.5,9.7,7.52,7.5,9.1,9.0,9.2,9.1,10.01,5.0,-2.0,0.0,-1.0,2023-12-31,0,2,4,2,1,1
RA-749,2023,9,2022,7.7597,323.0,117.0,8.0,10.0,9.0,7.52,5.625,7.3,7.3,7.3,7.3,8.425,5.0,-1.0,0.0,0.0,2023-12-31,0,1,3,2,1,0
RA-956,2023,11,2023,7.7312,336.0,121.0,9.0,8.0,7.5,7.52,7.5,7.8,7.8,7.8,7.8,9.345,5.0,-2.0,0.0,,2023-12-31,0,2,3,2,1,1
RA-787,2023,9,2022,7.5227,429.0,140.0,10.0,9.0,9.8,7.52,5.625,5.9,6.0,5.8,5.9,8.34,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,3,2,1,0
RA-957,2023,9,2023,9.1672,8.0,7.0,2.0,10.0,9.3,7.52,7.5,9.1,9.0,9.2,9.1,9.925,10.0,0.0,1.0,,2023-12-31,0,0,4,2,0,1
RA-753,2023,9,2022,8.6672,55.0,37.0,7.0,9.0,9.9,7.52,7.5,9.0,9.0,9.0,9.0,9.925,5.0,-1.0,0.0,-1.0,2023-12-31,0,1,4,2,0,1
RA-958,2023,8,2023,9.2902,4.0,4.0,1.0,10.0,9.8,7.52,7.5,9.3,9.3,9.3,9.3,9.84,10.0,0.0,0.0,,2023-12-31,0,0,4,2,0,1
